CHEM111L, 10.30, 13.15, 
CHEM111L, 
CHEM111L, 
CHEM111L, 
CHEM111L, 
CHEM111L, 
CHEM111L, 
CHEM111L, 
CHEM111L, 
Template(Class Name), startTime, endTime, location, teacher, mon, , wed, , fri
